筋肉  きんにく
金融  きんゆう
金曜  きんよう
九   く
句   く
食う  くう
偶然  ぐうぜん
臭い  くさい
鎖   くさり
腐る  くさる
癖   くせ
管   くだ
具体  ぐたい
下さる くださる
下り  くだり
苦痛  くつう
区別  くべつ
組   くみ
組合  くみあい
組む  くむ
曇   くもり
位   くらい
暮らし くらし
暮らす くらす
繰り返す    くりかえす
狂う  くるう
苦しい くるしい
苦しむ くるしむ
暮れ  くれ
苦労  くろう
加える くわえる
詳しい くわしい
加わる くわわる
訓   くん
軍   ぐん
軍隊  ぐんたい
訓練  くんれん
下   げ
計   けい
敬意  けいい
経営  けいえい
計画  けいかく
景気  けいき
経験  けいけん
傾向  けいこう
警告  けいこく
計算  けいさん
掲示  けいじ
刑事  けいじ
芸術  げいじゅつ
契約  けいやく
経由  けいゆ
怪我  けが
劇   げき
劇場  げきじょう
化粧  けしょう
結果  けっか
欠陥  けっかん
結局  けっきょく
決心  けっしん
欠席  けっせき
決定  けってい
欠点  けってん
月曜  げつよう
結論  けつろん
煙   けむり
券   けん
県   けん
軒   けん
喧嘩  けんか
見解  けんかい
限界  げんかい
現金  げんきん
言語  げんご
健康  けんこう
検査  けんさ
現在  げんざい
現実  げんじつ
現象  げんしょう
現状  げんじょう
建設  けんせつ
現代  げんだい
建築  けんちく
見当  けんとう
検討  けんとう
現場  げんば
憲法  けんぽう
権利  けんり
後   ご
語   ご
恋   こい
濃い  こい
恋人  こいびと
幸運  こううん
講演  こうえん
効果  こうか
硬貨  こうか
高価  こうか
豪華  ごうか
合格  ごうかく
交換  こうかん
航空  こうくう
光景  こうけい
合計  ごうけい
攻撃  こうげき
貢献  こうけん
広告  こうこく
交際  こうさい
後者  こうしゃ
工場  こうば
構成  こうせい
高速  こうそく
行動  こうどう
強盗  ごうとう
幸福  こうふく
公平  こうへい
候補  こうほ
考慮  こうりょ
越える こえる
氷   こおり
凍る  こおる
誤解  ごかい
語学  ごがく
呼吸  こきゅう
故郷  こきょう
極   ごく
国語  こくご
黒板  こくばん
克服  こくふく
国民  こくみん
穀物  こくもつ
ここ  ここ
腰   こし
故障  こしょう
個人  こじん
越す  こす
国家  こっか
国会  こっかい
国境  こっきょう
骨折  こっせつ
小包  こづつみ
事   こと
異なる ことなる
諺   ことわざ
断る  ことわる
粉   こな
この  この
好み  このみ
好む  このむ
塵   ごみ
小麦  こむぎ
小屋  こや
頃   ころ
殺す  ころす
転ぶ  ころぶ
今回  こんかい
今後  こんご
混雑  こんざつ
困難  こんなん
今日  こんにち
婚約  こんやく
混乱  こんらん
差   さ
際   さい
最高  さいこう
財産  ざいさん
最終  さいしゅう
最中  さいちゅう
最低  さいてい
才能  さいのう
裁判  さいばん
材料  ざいりょう
幸い  さいわい
境   さかい
逆らう さからう
盛り  さかり
作業  さぎょう
昨   さく
作品  さくひん
作物  さくもつ
桜   さくら
酒   さけ
叫ぶ  さけぶ
避ける さける
支える ささえる
指す  さす
座席  ざせき
誘う  さそう
札   さつ
作家  さっか
作曲  さっきょく
砂漠  さばく
差別  さべつ
作法  さほう
様々  さまざま
覚ます さます
覚める さめる
左右  さゆう
皿   さら
更に  さらに
去る  さる
猿   さる
騒ぎ  さわぎ
参加  さんか
参考  さんこう
賛成  Uӣ[い
酸素  さんそ
散歩  さんぽ
四   し
氏   し
詩   し
幸せ  しあわせ
ジェット機   ジェットき
直に  じかに
叱る  しかる
式   しき
直   じき
時期  じき
支給  しきゅう
刺激  しげき
資源  しげん
事件  じけん
時刻  じこく
自殺  じさつ
事実  じじつ
支出  ししゅつ
事情  じじょう
詩人  しじん
自身  じしん
沈む  しずむ
自然  しぜん
思想  しそう
舌   した
次第  しだい
事態  じたい
従う  したがう
したがって   したがって
支度  したく
親しい したしい
七   しち
質   しつ
失業  しつぎょう
実験  じっけん
実現  じつげん
実行  じっこう
実際  じっさい
実施  じっし
実に  じつに
実は  じつは
失望  しつぼう
支店  してん
指導  しどう
自動  じどう
品   しな
支配  しはい
芝居  しばい
芝生  しばふ
支払  しはらい
支払う しはらう
死亡  しぼう
資本  しほん
姉妹  しまい
自慢  じまん
事務  じむ
示す  しめす
占める しめる
下   しも
霜   しも
借金  しゃっきん
邪魔  じゃま
週   しゅう
州   しゅう
十   じゅう
銃   じゅう
周囲  しゅうい
収穫  しゅうかく
週間  しゅうかん
宗教  しゅうきょう
重視  じゅうし
就職  しゅうしょく
修正  しゅうせい
渋滞  じゅうたい
重大  じゅうだい
住宅  じゅうたく
集団  しゅうだん
集中  しゅうちゅう
収入  しゅうにゅう
住民  じゅうみん
重要  じゅうよう
修理  しゅうり
主義  しゅぎ
宿泊  しゅくはく
手術  しゅじゅつ
首相  しゅしょう
手段  しゅだん
主張  しゅちょう
出身  しゅっしん
出席  しゅっせき
出発  しゅっぱつ
出版  しゅっぱん
首都  しゅと
主婦  しゅふ
主要  しゅよう
需要  じゅよう
種類  しゅるい
順   じゅん
瞬間  しゅんかん
順調  じゅんちょう
順番  じゅんばん
準備  じゅんび
使用  しよう
小   しょう
章   しょう
賞   しょう
上   じょう
障害  しょうがい
奨学金 しょうがくきん
乗客  じょうきゃく
上京  じょうきょう
状況  じょうきょう
条件  じょうけん
正午  しょうご
正直  しょうじき
常識  じょうしき
少女  しょうじょ
少々  しょうしょう
症状  しょうじょう
生じる しょうじる
招待  しょうたい
状態  じょうたい
上達  じょうたつ
冗談  じょうだん
承知  しょうち
上等  じょうとう
衝突  しょうとつ
商人  しょうにん
承認  しょうにん
少年  しょうねん
商売  しょうばい
消費  しょうひ
商品  しょうひん
消防  しょうぼう
情報  じょうほう
証明  しょうめい
女王  じょおう
職   しょく
職業  しょくぎょう
食事  しょくじ
食卓  しょくたく
食品  しょくひん
植物  しょくぶつ
食物  しょくもつ
食欲  しょくよく
食料  しょくりょう
食糧  しょくりょう
書斎  しょさい
女子  じょし
助手  じょしゅ
徐々に じょじょに
署名  しょめい
書物  しょもつ
女優  じょゆう
処理  しょり
書類  しょるい
知らせ しらせ
尻   しり
印   しるし
城   しろ
進学  しんがく
神経  しんけい
真剣  しんけん
信仰  しんこう
信号  しんごう
人工  じんこう
深刻  しんこく
診察  しんさつ
人種  じんしゅ
信じる しんじる
人生  じんせい
親戚  しんせき
新鮮  しんせん
心臓  しんぞう
身体  しんたい
身長  しんちょう
慎重  しんちょう
心配  しんぱい
審判  しんぱん
人物  じんぶつ
進歩  しんぽ
親友  しんゆう
信用  しんよう
信頼  しんらい
心理  しんり
人類  じんるい
巣   す
図   ず
水準  すいじゅん
推薦  すいせん
随分  ずいぶん
睡眠  すいみん
数   すう
数字  すうじ
末   すえ
姿   すがた
空く  すく
救う  すくう
優れる すぐれる
少しも すこしも
過ごす すごす
筋   すじ
進める すすめる
勧める すすめる
頭痛  ずつう
既に  すでに
素晴らしい   すばらしい
全て  すべて
済ませる    すませる
角   すみ
鋭い  するどい
背   せい
正   せい
生   せい
性   せい
所為  せい
税   ぜい
性格  せいかく
正確  せいかく
世紀  せいき
請求  せいきゅう
税金  ぜいきん
清潔  せいけつ
制限  せいげん
成功  せいこう
生産  せいさん
正式  せいしき
精神  せいしん
成人  せいじん
精々  せいぜい
成績  せいせき
製造  せいぞう
贅沢  ぜいたく
成長  せいちょう
制度  せいど
青年  せいねん
製品  せいひん
政府  せいふ
生物  せいぶつ
生命  せいめい
整理  せいり
咳   せき
石炭  せきたん
責任  せきにん
石油  せきゆ
世間  せけん
説   せつ
積極的 せっきょくてき
設計  せっけい
絶対  ぜったい
設備  せつび
絶滅  ぜつめつ
節約  せつやく
是非  ぜひ
責める せめる
世話  せわ
善   ぜん
全   ぜん
全員  ぜんいん
専攻  せんこう
全国  ぜんこく
先日  せんじつ
前者  ぜんしゃ
選手  せんしゅ
前進  ぜんしん
全然  ぜんぜん
全体  ぜんたい
選択  せんたく
そう  そう
象   ぞう
騒音  そうおん
増加  ぞうか
操作  そうさ
掃除  そうじ
想像  そうぞう
相続  そうぞく
相談  そうだん
装置  そうち
相当  そうとう
速度  そくど
そこ  そこ
底   そこ
組織  そしき
注ぐ  そそぐ
育つ  そだつ
袖   そで
備える そなえる
その  その
側   そば
粗末  そまつ
損   そん
損害  そんがい
尊敬  そんけい
存在  そんざい
尊重  そんちょう
田   た
他   た
対   たい
大   だい
台   だい
題   だい
体育  たいいく
体温  たいおん
大会  たいかい
大気  たいき
代金  だいきん
退屈  たいくつ
滞在  たいざい
大使  たいし
大した たいした
対象  たいしょう
大臣  だいじん
対する たいする
大戦  たいせん
大抵  たいてい
態度  たいど
大統領 だいとうりょう
大半  たいはん
代表  だいひょう
大部分 だいぶぶん
大変  たいへん
逮捕  たいほ
太陽  たいよう
平ら  たいら
代理  だいり
大陸  たいりく
倒す  たおす
だが  だが
互い  たがい
宝   たから
だから だから
宅   たく
確かめる    たしかめる
多少  たしょう
助ける たすける
唯   ただ
戦い  たたかい
戦う  たたかう
叩く  たたく
直ちに ただちに
立ち上がる   たちあがる
立場  たちば
経つ  たつ
達する たっする
唯   たった
縦   たて
谷   たに
他人  たにん
種   たね
束   たば
度   たび
旅   たび
多分  たぶん
玉   たま
球   たま
弾   たま
偶   たま
偶々  たまたま
黙る  だまる
駄目  だめ
試し  ためし
試す  ためす
便り  たより
頼る  たよる
誰か  だれか
段   だん
単位  たんい
単語  たんご
男子  だんし
単純  たんじゅん
誕生  たんじょう
団体  だんたい
担当  たんとう
単なる たんなる
単に  たんに
地   ち
地位  ちい
地域  ちいき
知恵  ちえ
地下  ちか
違い  ちがい
違いない    ちがいない
近頃  ちかごろ
地球  ちきゅう
地区  ちく
遅刻  ちこく
知事  ちじ
知識  ちしき
父親  ちちおや
知能  ちのう
地平線 ちへいせん
地方  ちほう
茶   ちゃ
中   ちゅう
注   ちゅう
中央  ちゅうおう
中学  ちゅうがく
中古  ちゅうこ
中止  ちゅうし
駐車  ちゅうしゃ
昼食  ちゅうしょく
中心  ちゅうしん
注目  ちゅうもく
注文  ちゅうもん
長期  ちょうき
調査  ちょうさ
調子  ちょうし
頂上  ちょうじょう
貯金  ちょきん
直接  ちょくせつ
著者  ちょしゃ
遂に  ついに
通過  つうか
通学  つうがく
通行  つうこう
通じる つうじる
通信  つうしん
捕まる つかまる
掴む  つかむ
疲れ  つかれ
月   つき
付き合い    つきあい
次々  つぎつぎ
就く  つく
注ぐ  つぐ
付ける つける
土   つち
続き  つづき
包み  つつみ
勤め  つとめ
務め  つとめ
繋ぐ  つなぐ
常に  つねに
翼   つばさ
罪   つみ
詰める つめる
積もる つもる
梅雨  つゆ
辛い  つらい
釣   つり
連れ  つれ
出会い であい
出会う であう
提案  ていあん
定期  ていき
抵抗  ていこう
提出  ていしゅつ
程度  ていど
停留所 ていりゅうじょ
敵   てき
出来事 できごと
適する てきする
適切  てきせつ
適度  てきど
適用  てきよう
出来るだけ   できるだけ
手品  てじな
鉄   てつ
哲学  てつがく
手伝い てつだい
徹底  てってい
鉄道  てつどう
徹夜  てつや
では  では
手間  てま
でも  でも
典型  てんけい
天候  てんこう
電子  でんし
伝統  でんとう
天然  てんねん
度   ど
問い  とい
党   とう
塔   とう
答案  とうあん
同一  どういつ
当時  とうじ
動詞  どうし
同時  どうじ
到着  とうちゃく
道徳  どうとく
投票  とうひょう
同様  どうよう
同僚  どうりょう
道路  どうろ
十   とお
通す  とおす
通り  とおり
通り過ぎる   とおりすぎる
都会  とかい
時   とき
解く  とく
毒   どく
得意  とくい
読書  どくしょ
独身  どくしん
特徴  とくちょう
独特  どくとく
独立  どくりつ
解ける とける
登山  とざん
都市  とし
年月  としつき
図書  としょ
年寄  としより
閉じる とじる
途端  とたん
土地  とち
突然  とつぜん
届く  とどく
飛ばす とばす
飛び出す    とびだす
留める とめる
友   とも
共に  ともに
土曜  どよう
虎   とら
取り上げる   とりあげる
努力  どりょく
どれ  どれ
取れる とれる
泥   どろ
